Month ,Cargo Traffic (‘000 Tonnes)
1995-01-01,8005
1996-01-01,8884
1997-01-01,12453
1998-01-01,15282
1999-01-01,14206
2000-01-01,17600
2001-01-01,17891
2002-01-01,17501
2003-01-01,21430
2004-01-01,26673
2005-01-01,33891
2006-01-01,34451
2007-01-01,32042
2008-01-01,36019
2009-01-01,36691
2010-01-01,35528
2011-01-01,31550
2012-01-01,32941
2013-01-01,37036
2014-01-01,39365
2015-01-01,36566
2016-01-01,35582
2017-01-01,39945
2018-01-01,42055
2019-01-01,42508
2020-01-01,39145
